Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.035391,1.5116E-05,2E-07,0,0,0,0.10849,6.2343E-05,-8.9347E-08,-2.2641E-10,0.00010475,-1.7709E-09,9.276E-05,0,0,0,0,0,0,package://snake/meshes/base_link.STL,0.18431,0.73333,1,1,0,0,0,0,0,0,package://snake/meshes/base_link.STL,,orthogonal_joint-1/snake_link-1;orthogonal_joint-1/snake_tray_up_down-1;orthogonal_joint-1/snake_tray_up_down-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_1.STL,,orthogonal_joint-1/snake_servo-1;orthogonal_joint-1/snake_link-2;orthogonal_joint-1/snake_tray_up_down-3;orthogonal_joint-1/snake_tray_up_down-4,坐标系1,基准轴1,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,2,0,-1.5,1.5,,,,,,,,
Link_2,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_2.STL,,orthogonal_joint-1/snake_servo-2;orthogonal_joint-2/snake_link-1;orthogonal_joint-2/snake_tray_up_down-1;orthogonal_joint-2/snake_tray_up_down-2,坐标系2,基准轴2,Joint_2,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_1,0,0,1,2,0,-1.5,1.5,,,,,,,,
Link_3,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_3.STL,,orthogonal_joint-2/snake_servo-1;orthogonal_joint-2/snake_link-2;orthogonal_joint-2/snake_tray_up_down-3;orthogonal_joint-2/snake_tray_up_down-4,坐标系3,基准轴3,Joint_3,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_2,0,0,-1,2,0,-1.5,1.5,,,,,,,,
Link_4,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_4.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_4.STL,,orthogonal_joint-2/snake_servo-2;orthogonal_joint-3/snake_link-1;orthogonal_joint-3/snake_tray_up_down-1;orthogonal_joint-3/snake_tray_up_down-2,坐标系4,基准轴4,Joint_4,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_3,0,0,1,2,0,-1.5,1.5,,,,,,,,
Link_5,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_5.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_5.STL,,orthogonal_joint-3/snake_servo-1;orthogonal_joint-3/snake_link-2;orthogonal_joint-3/snake_tray_up_down-3;orthogonal_joint-3/snake_tray_up_down-4,坐标系5,基准轴5,Joint_5,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_4,0,0,-1,2,0,-1.5,1.5,,,,,,,,
Link_6,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_6.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_6.STL,,orthogonal_joint-3/snake_servo-2;orthogonal_joint-6/snake_link-1;orthogonal_joint-6/snake_tray_up_down-1;orthogonal_joint-6/snake_tray_up_down-2,坐标系6,基准轴6,Joint_6,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_5,0,0,1,2,0,-1.5,1.5,,,,,,,,
Link_7,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_7.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_7.STL,,orthogonal_joint-6/snake_servo-1;orthogonal_joint-6/snake_link-2;orthogonal_joint-6/snake_tray_up_down-3;orthogonal_joint-6/snake_tray_up_down-4,坐标系7,基准轴7,Joint_7,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_6,0,0,-1,2,0,-1.5,1.5,,,,,,,,
Link_8,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_8.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_8.STL,,orthogonal_joint-6/snake_servo-2;orthogonal_joint-7/snake_link-1;orthogonal_joint-7/snake_tray_up_down-1;orthogonal_joint-7/snake_tray_up_down-2,坐标系8,基准轴8,Joint_8,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_7,0,0,1,2,0,-1.5,1.5,,,,,,,,
Link_9,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake/meshes/Link_9.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake/meshes/Link_9.STL,,orthogonal_joint-7/snake_servo-1;orthogonal_joint-7/snake_link-2;orthogonal_joint-7/snake_tray_up_down-3;orthogonal_joint-7/snake_tray_up_down-4,坐标系9,基准轴9,Joint_9,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_8,0,0,-1,2,0,-1.5,1.5,,,,,,,,
