Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.046756,-3.0974E-05,-0.0042756,0,0,0,0.15651,6.9082E-05,-8.9347E-08,1.2498E-06,0.00011157,-1.7714E-09,9.5319E-05,0,0,0,0,0,0,package://snake_with_wheel/meshes/base_link.STL,0.18431,0.73333,1,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/base_link.STL,,orthogonal_joint_wheel-1/snake_link-1;orthogonal_joint_wheel-1/snake_wheel_bracket-1;orthogonal_joint_wheel-1/snake_tray_up_down-2;orthogonal_joint_wheel-1/snake_tray_up_down-1;orthogonal_joint_wheel-1/snake_dianquan_m3-3;orthogonal_joint_wheel-1/snake_luomu_m3-2;orthogonal_joint_wheel-1/snake_dianquan_m3-4;orthogonal_joint_wheel-1/snake_luomu_m3-3;orthogonal_joint_wheel-1/snake_luomu_m3-1;orthogonal_joint_wheel-1/snake_luoding_m3_l60-2;orthogonal_joint_wheel-1/snake_dianquan_m3-2;orthogonal_joint_wheel-1/snake_bear-3;orthogonal_joint_wheel-1/snake_dianquan_m3-1;orthogonal_joint_wheel-1/snake_bear-4;orthogonal_joint_wheel-1/snake_wheel_bracket-2,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_1,-2.7756E-17,1.0582E-16,3.4694E-18,0,0,0,0.019471,4.07E-06,-8.4946E-21,9.3271E-24,2.7774E-06,1.1729E-11,4.07E-06,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_1.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_1.STL,,orthogonal_joint_wheel-1/snake_wheel_1-1,坐标系1,基准轴1,Wheel_joint_1,continuous,0.079,0,-0.03,0,0,0,base_link,0,1,0,0,100,0,0,,,,,,,,
Link_1,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_1.STL,,orthogonal_joint_wheel-1/snake_servo-1;orthogonal_joint_wheel-1/snake_link-2;orthogonal_joint_wheel-1/snake_tray_up_down-3;orthogonal_joint_wheel-1/snake_tray_up_down-4,坐标系5,基准轴5,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,100,20,-1.5,1.5,,,,,,,,
Link_2,-0.029095,-0.0018076,-1.6348E-05,0,0,0,0.40492,0.00011158,1.2455E-06,1.6891E-07,0.00016276,2.9842E-10,0.00015263,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_2.STL,,orthogonal_joint_wheel-1/snake_servo-2;orthogonal_joint_wheel-2/snake_link-1;orthogonal_joint_wheel-2/snake_tray_up_down-1;orthogonal_joint_wheel-2/snake_tray_up_down-2;orthogonal_joint_wheel-2/snake_wheel_bracket-2;orthogonal_joint_wheel-2/snake_luoding_m3_l60-2;orthogonal_joint_wheel-2/snake_wheel_bracket-1;orthogonal_joint_wheel-2/snake_dianquan_m3-3;orthogonal_joint_wheel-2/snake_luomu_m3-2;orthogonal_joint_wheel-2/snake_dianquan_m3-1;orthogonal_joint_wheel-2/snake_bear-3;orthogonal_joint_wheel-2/snake_bear-4;orthogonal_joint_wheel-2/snake_luomu_m3-3;orthogonal_joint_wheel-2/snake_dianquan_m3-2;orthogonal_joint_wheel-2/snake_dianquan_m3-4;orthogonal_joint_wheel-2/snake_luomu_m3-1,坐标系6,基准轴6,Joint_2,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_1,0,0,-1,100,20,-1.5,1.5,,,,,,,,
Wheel_2,-5.5511E-17,3.1225E-17,1.9082E-17,0,0,0,0.019471,4.07E-06,-8.6034E-21,2.935E-23,2.7774E-06,1.1729E-11,4.07E-06,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_2.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_2.STL,,orthogonal_joint_wheel-2/snake_wheel_1-1,坐标系2,基准轴2,Wheel_joint_2,continuous,-0.0269,-0.030156,0,-1.5708,0,0,Link_2,0,1,0,0,100,0,0,,,,,,,,
Link_3,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_3.STL,,orthogonal_joint_wheel-2/snake_servo-1;orthogonal_joint_wheel-2/snake_link-2;orthogonal_joint_wheel-2/snake_tray_up_down-3;orthogonal_joint_wheel-2/snake_tray_up_down-4,坐标系7,基准轴7,Joint_3,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_2,0,0,-1,100,20,-1.5,1.5,,,,,,,,
Link_4,-0.029095,-0.0018076,-1.6348E-05,0,0,0,0.40492,0.00011158,1.2455E-06,1.6891E-07,0.00016276,2.9842E-10,0.00015263,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_4.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_4.STL,,orthogonal_joint_wheel-2/snake_servo-2;orthogonal_joint_wheel-3/snake_link-1;orthogonal_joint_wheel-3/snake_tray_up_down-1;orthogonal_joint_wheel-3/snake_tray_up_down-2;orthogonal_joint_wheel-3/snake_wheel_bracket-1;orthogonal_joint_wheel-3/snake_wheel_bracket-2;orthogonal_joint_wheel-3/snake_luoding_m3_l60-2;orthogonal_joint_wheel-3/snake_dianquan_m3-1;orthogonal_joint_wheel-3/snake_dianquan_m3-3;orthogonal_joint_wheel-3/snake_luomu_m3-2;orthogonal_joint_wheel-3/snake_bear-3;orthogonal_joint_wheel-3/snake_bear-4;orthogonal_joint_wheel-3/snake_dianquan_m3-2;orthogonal_joint_wheel-3/snake_luomu_m3-3;orthogonal_joint_wheel-3/snake_dianquan_m3-4;orthogonal_joint_wheel-3/snake_luomu_m3-1,坐标系8,基准轴8,Joint_4,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_3,0,0,-1,100,20,-1.5,1.5,,,,,,,,
Wheel_3,0,-5.8981E-17,-1.7347E-17,0,0,0,0.019471,4.07E-06,-8.4805E-21,-2.8992E-23,2.7774E-06,1.1729E-11,4.07E-06,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_3.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Wheel_3.STL,,orthogonal_joint_wheel-3/snake_wheel_1-1,坐标系3,基准轴3,Wheel_joint_3,continuous,-0.0269,-0.030156,0,-1.5708,0,0,Link_4,0,1,0,0,100,0,0,,,,,,,,
Link_5,-0.028507,-0.00015484,-3.6726E-05,0,0,0,0.3569,0.00010484,-4.4703E-09,1.6891E-07,0.0001602,2.9787E-10,0.00014581,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_5.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_5.STL,,orthogonal_joint_wheel-3/snake_servo-1;orthogonal_joint_wheel-3/snake_link-2;orthogonal_joint_wheel-3/snake_tray_up_down-3;orthogonal_joint_wheel-3/snake_tray_up_down-4,坐标系9,基准轴9,Joint_5,revolute,-0.1059,-0.00015556,0,-1.5708,0,0,Link_4,0,0,-1,100,20,-1.5,1.5,,,,,,,,
Link_6,-0.028325,-0.0018242,-1.6512E-05,0,0,0,0.4009,0.00011148,1.2455E-06,1.6891E-07,0.00016256,2.9842E-10,0.00015252,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_6.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://snake_with_wheel/meshes/Link_6.STL,,orthogonal_joint_wheel-3/snake_servo-2;snake_link-1;snake_wheel_bracket-1;snake_wheel_bracket-2;snake_luoding_m3_l60-1;snake_dianquan_m3-5;snake_dianquan_m3-7;snake_luomu_m3-4;snake_bear-2;snake_bear-1;snake_luomu_m3-6;snake_dianquan_m3-8;snake_dianquan_m3-6;snake_luomu_m3-5,坐标系10,基准轴10,Joint_6,revolute,-0.1059,-0.00015556,0,1.5708,0,0,Link_5,0,0,1,100,20,-1.5,1.5,,,,,,,,
